Samplenro,Notebook,Day,Month,DOY,SDOY,Meadow,Site,MeadowSite,Totalflowers,Species,SumOfInsects2,SumOfEffort,InsectDensity,MinOfAchilleamillefolium,MinOfAcinosalpinus,MinOfAconitumnapellus,MinOfAconitumanthora,MinOfAegopodiumpodagraria,MinOfAgrimoniaeupatoria,MinOfAjugareptans,MinOfAjugapyramidalis,MinOfAlchemillasp,MinOfAlliumcarinatum,MinOfAnacamptispyramidalis,MinOfAnemonenarcissiflora,MinOfAnthericumramosum,MinOfAnthyllisvulneraria,MinOfApiaceaesp,MinOfArabis/Arabidopsis,MinOfArenaria/Linumym,MinOfArnicamontana,MinOfAsperulacynanchica,MinOfAsteramellus,MinOfAsterbellidiastrum,MinOfAtrobabelladonna,MinOfBellisperennis,MinOfBistortavivipara,MinOfBuphthalmumsalicifolium,MinOfCarumcarvi,MinOfClinopodiumvulgare,MinOfCampanulaglomerata,MinOfCampanulasp,MinOfCapsellabursa-pastoris,MinOfCarduusdefloratus,MinOfCarduusnutans,MinOfCarlinaacaulis,MinOfCarlinavulgaris,MinOfCentaureasp,MinOfCentauriumsp,MinOfCephalantheralongifolia,MinOfCerastiumsp,MinOfChenopodiumsp,MinOfCichoriumintybus,MinOfCirsiumarvense,MinOfCirsiumacaule,MinOfCoeglossumviride,MinOfConyzasp,MinOfConvolvulusarvensis,MinOfCrepissp,MinOfCrepissp2,MinOfCrepis/Hieracium,MinOfCrepis/Hieracium/Leontodon,MinOfCuscutaeuropaeae,MinOfDaucuscarota,MinOfDianthussp,MinOfEchiumvulgare,MinOfEpilobiumsp,MinOfEuphrasiasp,MinOfEuphorbiacyparissias,MinOfFragariasp,MinOfGaliumverum,MinOfGaliumsp,MinOfGentianasp,MinOfGentianaverna,MinOfGeraniumsylvaticum,MinOfGeraniumpusillum,MinOfGeraniumsanguineum?,MinOfGeraniumsp,MinOfGlobularianudicaulis,MinOfGlobulariacardiflora,MinOfGymnadeniaconopsea,MinOfHelianthemumnummularium,MinOfHieraciumpilosella,MinOfHippocrepiscomosa,MinOfHypericumsp,MinOfKnautia/Scabiosa,MinOfLamiumalbum,MinOfLathyruspratensis,MinOfLathyrussp,MinOfLeucanthemumvulgare,MinOfLigustrumvulgare,MinOfLotuscorniculatus,MinOfLotusmaritimus,MinOfMaianthemumbifolium,MinOfMalvaneglecta,MinOfMedicagolupulina,MinOfMedicagominima,MinOfMedicagosativa,MinOfMelampyrumsylvaticum,MinOfMycelismuralis,MinOfMyosotessp,MinOfNeottiaovata,MinOfOdontitesluteus,MinOfOnobrychisvicifolia,MinOfOnonisspinosa,MinOfOphrusapifera,MinOfOphrusinsectifera,MinOfOrchismascula,MinOfOrchisustulata,MinOfOriganumvulgare,MinOfParnassiapalustris,MinOfPastinacasativa,MinOfPeucedanumsp,MinOfPhyteumaorbiculare,MinOfPimpinellasp,MinOfPlantagolanceolata,MinOfPlantagomajor,MinOfPlantagomedia,MinOfPlantherabifolia,MinOfPlatantherachlorantha,MinOfPolygalaalpestris,MinOfPolygalacomosa,MinOfPolygalavulgaris,MinOfPolygonumaviculare,MinOfPotentillaerecta,MinOfPotentillasp,MinOfPrimulaveris,MinOfPrunellasp,MinOfPulsatillasp,MinOfRanunculussp,MinOfRhinanthusminor,MinOfResedalutea,MinOfRosasp,MinOfRubussp,MinOfRumexsp,MinOfSalviapratensis,MinOfSambucussp,MinOfSanguisorbaminor,MinOfSaponariaocymoides?,MinOfSedumspyellow,MinOfSedumalbum,MinOfSeneciosp,MinOfSilenedioica,MinOfSilenenutans,MinOfSilenevulgaris,MinOfSisymbriumofficinale,MinOfSolanumdulgamara,MinOfSolidagovirgaurea,MinOfSpiranthesspiralis,MinOfStachysofficinalis,MinOfStachysrecta,MinOfTaraxacumsp,MinOfTeucriumchamaedris,MinOfTeuriummontanum,MinOfThesiumsp,MinOfThymussp,MinOfTragopodonpratensis,MinOfTrifoliumcampestre,MinOfTrifoliumbadium,MinOfTrifoliummontana,MinOfTrifoliumpratense,MinOfTrifoliumrepens,MinOfTrolleiseuropaeus,MinOfUrticadioica,MinOfVacciniumvitis-idaea,MinOfValeriana,MinOfVerbenaofficinalis,MinOfVeronicachamaedris,MinOfVeronicaofficinalis,MinOfVeronicaspicata,MinOfVeronicateucrium,MinOfVeronicasp,MinOfViciacracca,MinOfViciasepium,MinOfVincetoxicumhirundinaria,MinOfViolasp,MinOfSpecies,MinOfSumOfCowfeces,MinOfSumOfBareground,MinOfSumOfRock,MinOfSumOfBryophytes,MinOfSumOfLitter,MinOfelevation,Selevation,ElevationKM,MinOfColeoptera,MinOfColeopteraBuprestidae,MinOfColeopteraCantharidae,MinOfColeopteraCerambycidae,MinOfColeopteraCetonidae,MinOfColeopteraChrysomelidae,MinOfColeopteraCleridae,MinOfColeopteraMalachiidae,MinOfColeopteraMeloidae,MinOfColeopteraMelyridae,MinOfColeopteraMordellidae,MinOfColeopteraOedemeridae,MinOfColeopteraScarabidae,MinOfColeopteraTenebrionidae,MinOfDiptera,MinOfDipteraAsilidae,MinOfDipteraBibinionidae,MinOfDipteraCalliphoridae,MinOfDipteraConopsidae,MinOfDipteraBombylidae,MinOfDipteraEmpididae,MinOfDipteraMuscidae,MinOfDipteraSarcophagidae,MinOfDipteraSyrphidae,MinOfDipteraTachinidae,MinOfDipteraTephritidae,MinOfHymenoptera,MinOfHymenopteraApidae,MinOfHymenopteraBraconidae,MinOfHymenopteraChrysidae,MinOfHymenopteraFormicidae,MinOfHymenopteraIchneumonidae,MinOfHymenopteraLeucospidae,MinOfHymenopteraPompelinidae,MinOfHymenopteraSpecidae,MinOfHymenopteraSphecidae,MinOfHymenopteraTenthredinidae,MinOfHymenopteraVespidae,MinOfRaphidioptera,InsectsPerFlower,MinOfTemperature,MinOfSumOfEffort,ColeopteraDensity,ColeopteraBuprestidaeDensity,ColeopteraCantharidaeDensity,ColeopteraCerambycidaeDensity,ColeopteraCetonidaeDensity,ColeopteraChrysomelidaeDensity,ColeopteraCleridaeDensity,ColeopteraMalachiidaeDensity,ColeopteraMeloidaeDensity,ColeopteraMelyridaeDensity,ColeopteraMordellidaeDensity,ColeopteraOedemeridaeDensity,ColeopteraScarabidaeDensity,ColeopteraTenebrionidaeDensity,DipteraDensity,DipteraAsilidaeDensity,DipteraBibinionidaeDensity,DipteraCalliphoridaeDensity,DipteraConopsidaeDensity,DipteraBombylidaeDensity,DipteraEmpididaeDensity,DipteraMuscidaeDensity,DipteraSarcophagidaeDensity,DipteraSyrphidaeDensity,DipteraTachinidaeDensity,DipteraTephritidaeDensity,HymenopteraDensity,HymenopteraApidaeDensity,HymenopteraBraconidaeDensity,HymenopteraChrysidaeDensity,HymenopteraFormicidaeDensity,HymenopteraIchneumonidaeDensity,HymenopteraLeucospidaeDensity,HymenopteraPompelinidaeDensity,HymenopteraSpecidaeDensity,HymenopteraSphecidaeDensity,HymenopteraTenthredinidaeDensity,HymenopteraVespidaeDensity,RaphidiopteraDensity
89,1,22,7,203,0.981240649,i,3,i3,10953,38,50,100,0.5,1000,,,,,500,,,,,,,,3,,,,,20,,,,,,,,1,20,100,,,,,,500,,,100,,3,,,,,,,,20,2000,,500,,2,,20,,,300,,,,,1,,10,,,,,,,50,200,,,,100,,300,,,,,,400,,,,,,,300,,,,,,,20,,,1000,1000,,400,,,,,,,300,,,300,,800,,,,,,20,,,,,3,,,,,,,,,,,,,,,300,,,,30,200,100,,,,,,,,30,,,,,,,45,0.05,18.6,0,0.05,10.5,711.5,0.649078436,0.7115,,,1,1,,4,,,,,,2,,2,6,,,,,,,4,1,10,1,2,,10,1,,,4,,,,,1,,,4.56E-05,28,100,0,0,0.01,0.01,0,0.04,0,0,0,0,0,0.02,0,0.02,0.06,0,0,0,0,0,0,0.04,0.01,0.1,0.01,0.02,0,0.1,0.01,0,0,0.04,0,0,0,0,0.01,0,0
90,1,22,7,203,0.981240649,i,4,i4,5703,37,50,83.35,0.599880024,500,,,,,10,,,,,,,,3,,,,,50,,,,5,,,100,,,,,,15,,,250,,,150,,10,,,,,,3,,50,,,200,3,10,,,,,150,,,,,,,,,,,,,,,10,,10,,,,100,,,,50,,2000,,,,,,4,100,,,,,,,,,,800,200,,100,,,,,,,20,10,,50,,300,,,,,,20,,,,,,,,,,,,,,,,,150,,,,,100,,,50,30,,,,,40,,,50,,,,,,,46,3.6,19.8,0,0.05,10.85,702.4,0.6407768,0.7024,,,,,,1,,,,,,1,,3,2,,,,,,,18,,9,,2,,3,3,,,3,,,,,2,3,,0.000105187,28,83.35,0,0,0,0,0,0.0119976,0,0,0,0,0,0.0119976,0,0.035992801,0.023995201,0,0,0,0,0,0,0.215956809,0,0.107978404,0,0.023995201,0,0.035992801,0.035992801,0,0,0.035992801,0,0,0,0,0.023995201,0.035992801,0
91,1,22,7,203,0.981240649,i,5,i5,6480,50,58,83.35,0.695860828,300,,,,,50,,,,,,,30,10,,,100,,1000,,,,,,10,,,1,50,,,4,,,100,,,50,,50,,,,,,,,3,4,,100,30,30,,50,,,150,,,,,,,3,20,,,20,3,,,30,,,,,,200,,,,30,,500,,,,,,,50,,,,1,,,,20,,700,200,,10,,,,,,,,,,150,,500,,,,,1,100,,,,20,5,,,,,,,,,200,,,400,200,,300,,30,,200,100,50,,,,,15,,,300,,,,,,,51,1.2,31.2,0.2,0,9,684.5,0.624447209,0.6845,,,,4,,20,,,,,,6,,5,,,,,,,,4,,7,,,,8,,,,1,,1,,,,2,,0.000107386,28,83.35,0,0,0,0.047990402,0,0.23995201,0,0,0,0,0,0.071985603,0,0.059988002,0,0,0,0,0,0,0,0.047990402,0,0.083983203,0,0,0,0.095980804,0,0,0,0.0119976,0,0.0119976,0,0,0,0.023995201,0
92,2,23,7,204,0.986074347,i,7,i7,8244,40,50,66.68,0.74985003,,150,,,,50,,,,,,,300,,,,20,,1500,,,,,,500,,,80,5,,,,,,,,,,,,,2,,,,,,,50,,100,150,100,,,,,100,2,,,,,,,2,,,500,10,,,100,,1,,100,,300,,,,20,,300,,,,,,,50,,,,,,,,500,,100,100,,20,,,,,,,,,,300,1,100,,,,,,20,,,,,,,,,,,,,,,,,500,300,1,1500,,,,150,10,,,,,,,,,150,,,,,,,57,0.15,41.5,0.6,0.1,17.2,648.5,0.591605574,0.6485,,,,,,,,,,,,2,,,,,,,6,,,,,3,1,,,29,1,,,2,,1,,1,,4,,9.10E-05,26,66.68,0,0,0,0,0,0,0,0,0,0,0,0.029994001,0,0,0,0,0,0,0.089982004,0,0,0,0,0.044991002,0.014997001,0,0,0.434913017,0.014997001,0,0,0.029994001,0,0.014997001,0,0.014997001,0,0.059988002,0
93,2,23,7,204,0.986074347,i,6,i6,6246,47,50,83.35,0.599880024,300,,,,,15,,,,,,,400,20,,,,,500,1,,,,,800,,80,200,50,,,,,,50,,,,,,10,,,,,,,,,,200,15,250,,3,,,100,,,,,,,,10,,,100,1,,,30,,20,,20,,50,,,,,,300,,,,,,,150,,,,,25,,5,400,,500,50,,50,,,,,5,,,,,100,,50,,,,10,,50,,,,,,,,,,,10,,,,,,600,150,30,300,,,,150,1,,,,,,,,,50,5,,30,,,,58,1.5,33.8,0.7,0,21,702.2,0.640594347,0.7022,,,,,,2,,,,,,1,,3,,,,1,,,,1,,5,,2,2,24,1,,,4,,1,,,,3,,9.60E-05,30,83.35,0,0,0,0,0,0.023995201,0,0,0,0,0,0.0119976,0,0.035992801,0,0,0,0.0119976,0,0,0,0.0119976,0,0.059988002,0,0.023995201,0.023995201,0.287942412,0.0119976,0,0,0.047990402,0,0.0119976,0,0,0,0.035992801,0
94,2,23,7,204,0.986074347,a,6,a6,16994,39,83,100.02,0.829834033,1000,,,,,300,,,,5,,,,,,,,,3000,,,,,,1,,,50,30,,,,,,30,,,,,,,2,,,,,,,50,,100,,300,,30,,,300,,,,,,,,10,,,200,3,,20,50,,,,2,,800,,,,30,,500,,,,,,,150,,,,1,,,,30,,600,5000,,600,,,,,,,100,,,300,,400,,,,,,150,,,,,,,,,,,,,,400,,,100,50,,1200,,,,1000,100,,,,,,,,,,,,,,,,59,2.5,10.8,0,0,18.7,981.9,0.895755609,0.9819,,,,,,45,,,,,,3,,1,,,,,,,,4,,8,2,6,,6,3,,,4,,1,,,,,,4.88E-05,28,100.02,0,0,0,0,0,0.449910018,0,0,0,0,0,0.029994001,0,0.009998,0,0,0,0,0,0,0,0.039992002,0,0.079984003,0.019996001,0.059988002,0,0.059988002,0.029994001,0,0,0.039992002,0,0.009998,0,0,0,0,0
95,2,23,7,204,0.986074347,a,5,a5,14526,53,57,100.02,0.569886023,300,20,,,,50,,,,,,,,,,,20,,50,,,,,,,20,100,200,20,,,,,,150,10,,,,,,3,,,,,,3,100,,250,,200,,200,,,300,5,,,,,,1,,,,20,1,,150,100,,,,1,,500,,,,20,,100,,,,,,,200,,,,,,1,,,,1500,1000,,500,,,,,15,,500,1,,400,,500,,,,5,,30,,,,30,40,,,,,,,,,5,,,200,,,1200,,20,,5000,400,50,,10,,,,,,20,,,,2,3,,61,3.6,6.6,1.1,1.2,20.4,1001,0.913179922,1.001,,,,1,,18,,,,,,,,1,3,,,,,,,5,,8,,4,,10,1,,,5,,,,,,1,,3.92E-05,28,100.02,0,0,0,0.009998,0,0.179964007,0,0,0,0,0,0,0,0.009998,0.029994001,0,0,0,0,0,0,0.049990002,0,0.079984003,0,0.039992002,0,0.099980004,0.009998,0,0,0.049990002,0,0,0,0,0,0.009998,0
96,2,23,7,204,0.986074347,a,4,a4,8132,42,50,116.69,0.428485731,300,,,,,50,,,,3,,,,,,,,,200,,,,,,,20,30,100,20,,,1,,,100,,,,,,,5,,,,,,1,3,,20,,,,,,,150,5,,,,30,,,,,,50,,,5,60,,15,,,,300,,,,,,300,,,,,,,100,,,,1,,,,,,400,200,,150,,,,,,,200,,,300,,300,,,,,,800,,,,10,30,,,,,,,,,8,,,30,,,1000,,,,2500,300,20,,,,,,,,10,,,5,,,,55,3.15,11.2,0.15,0,33.2,1002.8,0.914822003,1.0028,,,,1,,13,,,,,,1,,,,,,,,,,9,,14,2,,,5,3,,,2,,,,,,,,5.27E-05,28,116.69,0,0,0,0.008569715,0,0.11140629,0,0,0,0,0,0.008569715,0,0,0,0,0,0,0,0,0,0.077127432,0,0.119976005,0.017139429,0,0,0.042848573,0.025709144,0,0,0.017139429,0,0,0,0,0,0,0
97,2,24,7,205,0.990908045,a,2,a2,4791,33,50,116.69,0.428485731,20,,,,,20,,,,,,,,,,,100,,200,,,,,,,,,50,3,,,,,,30,,,,,,,,,,,,,,30,,20,,10,,100,,,40,,,,,,,,,,,1000,,,3,5,,,,10,,10,,,,,,20,,,,,,,50,,,,,,,,40,,400,500,,20,,,,50,,,20,,,400,,300,,,,,,100,,,,,,,,,,,,,,,,,100,20,,1000,,,,100,20,,,,,,,,,,,,,,,,50,0.55,3.8,0,0,37.3,984.9,0.898492412,0.9849,,,,5,,10,,,,,,2,,,,,,,,,,2,,1,3,4,1,5,7,,,10,,,,,,,,8.94E-05,26,116.69,0,0,0,0.042848573,0,0.085697146,0,0,0,0,0,0.017139429,0,0,0,0,0,0,0,0,0,0.017139429,0,0.008569715,0.025709144,0.034278859,0.008569715,0.042848573,0.059988002,0,0,0.085697146,0,0,0,0,0,0,0
98,2,24,7,205,0.990908045,a,3,a3,8860,42,50,83.35,0.599880024,400,,,,,150,,,,,,,,,,,,,500,,,,,,30,100,80,100,30,,,,,,150,,,,,,,1,,,,,,,50,,200,,,,200,,,150,100,,,,30,,,,,,100,1,,20,20,,,,10,,30,,,,,,200,,,,,,,100,,,,,,,,20,,200,3000,,200,,,,,,,20,50,,200,,500,,,,20,,30,,,,3,10,,,,,,,,,5,,,100,,,800,,,,800,,50,,,,,,,,100,,,,,,,65,0.45,5.2,0.3,0,36.7,949.8,0.866471818,0.9498,,,,,,11,,,,,,,,11,2,,,,,,,7,,3,,3,,10,1,,,1,,,,,1,,,6.77E-05,26,83.35,0,0,0,0,0,0.131973605,0,0,0,0,0,0,0,0.131973605,0.023995201,0,0,0,0,0,0,0.083983203,0,0.035992801,0,0.035992801,0,0.119976005,0.0119976,0,0,0.0119976,0,0,0,0,0.0119976,0,0
99,2,24,7,205,0.990908045,a,1,a1,14298,44,71,100.02,0.709858028,200,50,,,,100,,,,,,,,3,,5,,,800,,,,,,,200,80,500,30,,,1,,,150,,,1,,,,5,,,,,,,30,,200,,50,,100,,,300,,,,,50,,,,,,300,10,,50,30,,,,5,,200,,,,10,,500,,,,,,,100,,,,,,,15,,,2000,2500,,300,,,,10,,,,10,,200,,800,,,,,,500,,,,,,,,,,,,,,,,,50,3,,600,,50,,3000,200,,,,,,,,,,,,,,,,61,0.4,6,0,0,29.5,1020.6,0.931060368,1.0206,,,1,1,,29,,1,,1,,8,,2,,,,,,,,5,,5,1,2,,10,,,,3,,,,1,1,,,4.96E-05,26,100.02,0,0,0.009998,0.009998,0,0.289942012,0,0.009998,0,0.009998,0,0.079984003,0,0.019996001,0,0,0,0,0,0,0,0.049990002,0,0.049990002,0.009998,0.019996001,0,0.099980004,0,0,0,0.029994001,0,0,0,0.009998,0.009998,0,0
100,2,24,7,205,0.990908045,n,1,n1,2691,32,50,166.7,0.299940012,20,100,,,,,,,50,,,,,,2,,10,,,,,,1,,,50,40,,2,,2,,,,30,,,3,,,,5,,,,,1,,10,,,,30,,30,,,5,,,,,,,,,,,,,,5,10,,,,,,300,,,,10,,,,,,,,,,,,,,,,,5,,,200,,500,,,,,,,300,,,150,,300,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,50,50,20,,,,,,,,,,,,,,,60,1.9,6.1,0,0,34,1390.3,1.268325719,1.3903,,,1,2,,5,,,,,,1,,,1,,,,,,,13,,4,2,1,,1,7,,,7,,1,,,4,,,0.00011146,27,166.7,0,0,0.0059988,0.0119976,0,0.029994001,0,0,0,0,0,0.0059988,0,0,0.0059988,0,0,0,0,0,0,0.077984403,0,0.023995201,0.0119976,0.0059988,0,0.0059988,0.041991602,0,0,0.041991602,0,0.0059988,0,0,0.023995201,0,0
101,2,24,7,205,0.990908045,n,2,n2,5610,31,50,83.35,0.599880024,200,,,,3,,,,50,,,,,,,,,,,,,,1,,,150,80,1,,,1,,,,,,,,,,,,,,,,,,,,,,5,,20,,,3,,,,1,,,,,,,20,,,5,5,,,,,,200,,,,50,,,,,,,,,,,,,,,,,,,,2500,,300,,,,,,,300,20,,150,,800,,15,,,,2,,,,,20,,,,,,,,,,,,,,,300,,,,50,150,200,,8,,,,,,,,,,,,,55,2.1,4.6,0,0,33.8,1405.5,1.282192188,1.4055,,,,3,,2,,1,,,,1,,1,,,,,1,,,26,,1,,1,,4,2,,,6,,,,,,1,,0.00010693,27,83.35,0,0,0,0.035992801,0,0.023995201,0,0.0119976,0,0,0,0.0119976,0,0.0119976,0,0,0,0,0.0119976,0,0,0.311937612,0,0.0119976,0,0.0119976,0,0.047990402,0.023995201,0,0,0.071985603,0,0,0,0,0,0.0119976,0
102,2,25,7,206,0.995741742,n,3,n3,4249,35,50,66.68,0.74985003,200,15,,,,,,,100,,,,,,,,300,,,,,,2,,,300,,,,,10,,,,3,,,10,,,,,,,,,,10,500,,,,150,,50,,,30,,,,,,,,,,,30,,,10,,,,,3,,200,,,,50,,,,,,,,,,,,,,,,,,,50,600,,400,,,,,,,50,,,50,,200,,,,,,10,,,,,100,,,,10,,,,,,,1,100,,,300,5,,,200,100,100,,,,,,,,,,,,,,,58,1.6,18.6,3,0.4,33.9,1407.7,1.284199176,1.4077,,,,1,,1,,,,,,1,,,2,,,,,,,30,,4,1,1,,1,1,,,3,,,,,4,,,0.000176477,24,66.68,0,0,0,0.014997001,0,0.014997001,0,0,0,0,0,0.014997001,0,0,0.029994001,0,0,0,0,0,0,0.449910018,0,0.059988002,0.014997001,0.014997001,0,0.014997001,0.014997001,0,0,0.044991002,0,0,0,0,0.059988002,0,0
103,2,25,7,206,0.995741742,n,4,n4,3792,42,50,133.36,0.374925015,30,,,,,,,,50,,,,,,,,200,,30,,,10,1,,,20,60,,20,,,,,,,,,5,,,,50,,,,,,,200,,,,50,3,30,,,,,,,,,,3,,,,30,5,,1,10,,2,,3,,200,,,,100,,,5,7,,,,,20,,,,1,,,,,,,200,,400,,,,,,,50,,,200,,500,,,,50,,5,,,,,,,,,3,,,,,,,,,15,,300,,,,800,100,20,,3,,,,,,,,,,,,,61,2.55,14,0,0.15,35.6,1420,1.295420069,1.42,,1,,1,,2,,,,,,4,,,1,,1,,,,,24,,5,1,1,,6,1,,,2,,,,,,,,9.89E-05,28,133.36,0,0.0074985,0,0.0074985,0,0.014997001,0,0,0,0,0,0.029994001,0,0,0.0074985,0,0.0074985,0,0,0,0,0.179964007,0,0.037492501,0.0074985,0.0074985,0,0.044991002,0.0074985,0,0,0.014997001,0,0,0,0,0,0,0
104,2,25,7,206,0.995741742,n,5,n5,5652,41,50,133.36,0.374925015,300,30,,,,,,,50,,,,,,,,300,,50,,,,,,,150,30,,3,,2,2,,,1,,,,,,,50,,,,,,3,200,,,,200,,100,,,20,,,,,,,,,,,50,1,,3,10,,,,2,,200,,,,100,,,,,,,,,5,,,,,,,,,,,1000,,500,,,,,,,100,,,200,,1000,,4,,,,2,,,,,50,,,10,3,,,,,,,,,20,,400,,,,400,50,50,,,,,,1,,,,,,,,,57,2.7,20.7,0.1,0,31.8,1398.6,1.275897541,1.3986,,,,2,,9,,,,,,1,,,1,,,,,,,14,,1,2,4,,9,2,,,3,,,,1,1,,,6.63E-05,30,133.36,0,0,0,0.014997001,0,0.067486503,0,0,0,0,0,0.0074985,0,0,0.0074985,0,0,0,0,0,0,0.104979004,0,0.0074985,0.014997001,0.029994001,0,0.067486503,0.014997001,0,0,0.022495501,0,0,0,0.0074985,0.0074985,0,0
105,2,25,7,206,0.995741742,o,4,o4,3899,31,50,166.7,0.299940012,50,20,,,3,,,,200,,,,,,,,20,,,,,,30,,,50,15,,50,,3,,,,,,,,,,,80,,,,,,,100,,,,,,300,,,2,,,,2,,,,,,,100,,,10,2,,2,,,,200,,,,,,,,,,,,,,,,,,,,,,,,200,5,100,,,,,,,1000,,,400,,200,,,,,,,,,,,,,,,,,,,,,,,,,5,200,,,,50,300,200,,,,,,,,,,,,,,,60,0,7.8,0,0,35.2,1576.2,1.437916276,1.5762,,,,,,9,,2,,1,,,,,4,,,,,,,6,,1,2,6,1,4,,,,13,1,,,,,,,7.69E-05,29,166.7,0,0,0,0,0,0.053989202,0,0.0119976,0,0.0059988,0,0,0,0,0.023995201,0,0,0,0,0,0,0.035992801,0,0.0059988,0.0119976,0.035992801,0.0059988,0.023995201,0,0,0,0.077984403,0.0059988,0,0,0,0,0,0
106,2,25,7,206,0.995741742,o,3,o3,4357,34,50,116.69,0.428485731,2,50,,,,,,,500,,,,,,,,,,,,,,,,,1,50,,50,,50,,,,,,,5,,,,15,,,,,,,10,,,,,,200,,,,20,,,,,,,,,2,100,1,,5,10,,10,,3,,100,,,,100,,,3,,,,,,,,,,,,,,,,,30,,80,,,,,,,1500,,,300,,200,,,,,,,,,,,,,,,3,,,,,,,,,,2,400,,,,50,200,300,,,,,,,5,,,,,,,,49,0.1,3.1,0.1,0,28.4,1612.7,1.471214046,1.6127,,,,1,,4,,,,,,,,,8,,,,,,,12,,1,1,1,,,,,,21,,,,,1,,,9.83E-05,27,116.69,0,0,0,0.008569715,0,0.034278859,0,0,0,0,0,0,0,0,0.068557717,0,0,0,0,0,0,0.102836576,0,0.008569715,0.008569715,0.008569715,0,0,0,0,0,0.179964007,0,0,0,0,0.008569715,0,0
107,2,25,7,206,0.995741742,u,1,u1,5541,25,50,83.35,0.599880024,20,150,,,,,,,1000,,,,,,,,,,,,,,1,10,,20,,,20,,3,,,,,,,,,,,,,,,,,,,,,,,,100,,,,10,,,2,,,,,,,20,,,30,20,,,,2,,,,,,400,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,2500,,,500,,20,3,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,30,50,30,,,,,,,,,,,,,,,67,4,22,0.25,0,26.5,1745.8,1.59263687,1.7458,,,,,,9,,,,,,,,,2,,,,,,,29,,1,,,,,2,,,7,,,,,,,,0.000108262,27,83.35,0,0,0,0,0,0.107978404,0,0,0,0,0,0,0,0,0.023995201,0,0,0,0,0,0,0.347930414,0,0.0119976,0,0,0,0,0.023995201,0,0,0.083983203,0,0,0,0,0,0,0
108,2,26,7,207,1.00057544,u,2,u2,5797,34,50,116.69,0.428485731,10,100,2,7,,,,,800,,,,,,,,,,,,,,5,2,,50,,,30,,10,,,,,,,,,,,20,,,,,,,20,,,,,,30,,,,10,,,,,,,,,,50,1,,100,80,3,5,,8,,150,,,,300,,,,,,,,,,,,,,,,,,1,,200,,50,,,,,,,3000,,,200,,150,,,,,,,,,,,,,,,3,,,,,,,,,,,300,,,,,30,50,,,,,,,20,,,,,,,,67,0,17.9,1.1,0.05,18.6,1749.2,1.59573858,1.7492,,,,6,,1,,,,,,,,,6,,1,,1,,,8,,5,,3,1,3,2,,,11,,,,,2,,,7.39E-05,26,116.69,0,0,0,0.051418288,0,0.008569715,0,0,0,0,0,0,0,0,0.051418288,0,0.008569715,0,0.008569715,0,0,0.068557717,0,0.042848573,0,0.025709144,0.008569715,0.025709144,0.017139429,0,0,0.094266861,0,0,0,0,0.017139429,0,0
109,2,29,7,210,1.015076533,i,5,i5,8760,48,54,50.01,1.079784043,50,,,,,80,,,,,,,80,10,1,,200,,1000,1,,,,,1,10,,50,30,,,20,,,500,,,,,1500,,,,,,50,,100,50,,150,20,100,,100,,,50,,,,,,,,,,,300,50,,1,30,,,,,,50,,,,,,300,,,,,,,150,,,,,,,,30,,800,100,,100,,,,,,,50,,,300,,300,,,,,,80,,,,5,1,,,,,,,,,300,,,600,300,,300,,,,200,50,10,,,,,,,,200,,,,,,,51,1.2,31.2,0.2,0,9,684.5,0.624447209,0.6845,,,,7,,10,,,,,,1,,2,,,,,,,,3,,1,,2,,15,1,,,8,,,,,,4,,0.000123263,24,50.01,0,0,0,0.139972006,0,0.199960008,0,0,0,0,0,0.019996001,0,0.039992002,0,0,0,0,0,0,0,0.059988002,0,0.019996001,0,0.039992002,0,0.299940012,0.019996001,0,0,0.159968006,0,0,0,0,0,0.079984003,0
110,2,29,7,210,1.015076533,i,4,i4,4156,35,50,66.68,0.74985003,600,,,,,30,,,,,,,,,,,10,,,,,,,,,80,10,3,2,,,21,,,1000,,,,,50,,,,,,20,,100,200,,200,2,50,,,,,100,,,,,,,,,,,100,,,30,10,,15,,,,30,,,,,,200,,,,,,,200,,,,,,,,,,600,20,,,,,,,,,,,,,,200,,,,,,8,,,,,,,,,,,,,,,,5,50,,,,,,,5,100,50,,,,,50,,,5,,,,,,,46,3.6,19.8,0,0.05,10.85,702.4,0.6407768,0.7024,,,,,,,,,,,,3,,,4,,,,,,,8,,26,,,,6,1,,,2,,,,,,,,0.000180426,25,66.68,0,0,0,0,0,0,0,0,0,0,0,0.044991002,0,0,0.059988002,0,0,0,0,0,0,0.119976005,0,0.389922016,0,0,0,0.089982004,0.014997001,0,0,0.029994001,0,0,0,0,0,0,0
